Event_Number;Ini_E[MeV];Ini_X[cm];Ini_Y[cm];Ini_Z[cm];Ini_Theta;Ini_Phi;Number_of_hits
1;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;112.957;;;
2;6.3;6.05;-134.8;317.644;;;
4;31.5;18.15;-13.2;89.189;;;
2;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.484;;;
2;-6.3;-6.05;-134.8;288.073;;;
4;6.3;6.05;-13.2;716.903;;;
3;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;110.271;;;
3;6.3;-6.05;-96.9;46.338;;;
4;6.3;-30.25;-13.2;906.787;;;
4;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;111.798;;;
2;6.3;6.05;-134.8;317.573;;;
3;6.3;6.05;-96.9;493.525;;;
4;31.5;30.25;-13.2;941.268;;;
5;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;117.997;;;
2;6.3;6.05;-134.8;310.209;;;
3;6.3;6.05;-96.9;454.893;;;
4;6.3;18.15;-13.2;769.374;;;
6;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;108.816;;;
2;6.3;6.05;-134.8;277.091;;;
3;6.3;-6.05;-96.9;434.143;;;
4;6.3;-6.05;-13.2;727.692;;;
7;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;106.745;;;
2;6.3;6.05;-134.8;311.248;;;
3;-6.3;6.05;-96.9;439.118;;;
4;-6.3;-30.25;-13.2;922.785;;;
8;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;115.278;;;
3;-6.3;6.05;-96.9;43.567;;;
3;6.3;6.05;-96.9;429.386;;;
9;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;109.285;;;
3;-6.3;6.05;-96.9;426.227;;;
4;-6.3;6.05;-13.2;736.244;;;
10;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;11.575;;;
2;6.3;6.05;-134.8;287.212;;;
3;-6.3;6.05;-96.9;441.527;;;
4;-56.7;54.45;-13.2;122.315;;;
4;-18.9;6.05;-13.2;775.585;;;
11;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.489;;;
2;6.3;6.05;-134.8;290.683;;;
3;6.3;6.05;-96.9;427.581;;;
4;6.3;6.05;-13.2;746.504;;;
12;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;113.378;;;
3;-6.3;6.05;-96.9;440.449;;;
4;-31.5;30.25;-13.2;982.945;;;
13;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;115.811;;;
2;-6.3;-6.05;-134.8;291.144;;;
3;-6.3;-6.05;-96.9;431.317;;;
14;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;109.796;;;
3;-6.3;6.05;-96.9;436.527;;;
4;-18.9;18.15;-13.2;866.009;;;
15;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;105.818;;;
2;6.3;6.05;-134.8;340.166;;;
3;18.9;6.05;-96.9;498.128;;;
4;18.9;30.25;-13.2;892.614;;;
4;-6.3;6.05;-13.2;733.878;;;
16;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;109.875;;;
4;-6.3;6.05;-13.2;731.969;;;
17;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.254;;;
2;6.3;6.05;-134.8;28.479;;;
3;6.3;6.05;-96.9;430.837;;;
18;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;109.685;;;
3;6.3;-6.05;-96.9;439.555;;;
4;18.9;6.05;-13.2;788.518;;;
19;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;111.509;;;
3;6.3;-6.05;-96.9;432.973;;;
4;-18.9;-6.05;-13.2;782.501;;;
20;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;115.461;;;
2;6.3;6.05;-134.8;309.364;;;
3;6.3;6.05;-96.9;463.278;;;
21;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;110.939;;;
2;6.3;6.05;-134.8;306.987;;;
3;6.3;6.05;-96.9;469.251;;;
4;6.3;18.15;-13.2;780.437;;;
22;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;11.441;;;
2;6.3;6.05;-134.8;307.778;;;
3;6.3;6.05;-96.9;466.665;;;
4;6.3;18.15;-13.2;793.721;;;
23;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;112.825;;;
4;-6.3;6.05;-13.2;707.858;;;
24;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;111.929;;;
2;6.3;-6.05;-134.8;29.964;;;
3;6.3;-6.05;-96.9;442.168;;;
4;6.3;-6.05;-13.2;741.019;;;
25;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;115.364;;;
2;-6.3;-6.05;-134.8;315.209;;;
3;18.9;-30.25;-96.9;639.915;;;
4;-6.3;6.05;-13.2;735.451;;;
26;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;113.227;;;
2;-6.3;6.05;-134.8;304.768;;;
4;6.3;6.05;-13.2;711.502;;;
27;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.072;;;
2;-6.3;6.05;-134.8;2.902;;;
3;-6.3;6.05;-96.9;427.558;;;
4;-6.3;6.05;-13.2;748.012;;;
28;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;10.959;;;
3;-6.3;6.05;-96.9;439.272;;;
4;-31.5;-6.05;-13.2;897.867;;;
29;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;114.903;;;
2;6.3;-6.05;-134.8;294.511;;;
3;6.3;-6.05;-96.9;438.159;;;
4;6.3;-6.05;-13.2;759.916;;;
30;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;120.344;;;
2;6.3;-6.05;-134.8;302.714;;;
3;6.3;-6.05;-96.9;435.799;;;
4;6.3;-6.05;-13.2;724.432;;;
31;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;114.907;;;
2;-6.3;6.05;-134.8;29.324;;;
3;-6.3;6.05;-96.9;430.234;;;
4;6.3;6.05;-13.2;726.992;;;
32;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;119.137;;;
2;6.3;-6.05;-134.8;29.147;;;
3;6.3;-6.05;-96.9;425.286;;;
4;18.9;-18.15;-13.2;85.387;;;
33;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;104.608;;;
2;6.3;-6.05;-134.8;316.143;;;
3;6.3;-6.05;-96.9;471.533;;;
4;18.9;-6.05;-13.2;805.818;;;
34;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;110.027;;;
3;-6.3;6.05;-96.9;431.688;;;
4;-6.3;-6.05;-13.2;692.496;;;
35;100.0;1.0;1.0;-220.0;0.0;0.0;2.0
1;6.3;6.05;-187.3;109.434;;;
4;6.3;6.05;-13.2;747.983;;;
36;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;114.037;;;
2;6.3;6.05;-134.8;322.229;;;
3;18.9;6.05;-96.9;491.226;;;
4;44.1;30.25;-13.2;981.204;;;
37;100.0;1.0;1.0;-220.0;0.0;0.0;5.0
1;6.3;6.05;-187.3;122.191;;;
2;6.3;6.05;-134.8;295.958;;;
3;-6.3;-6.05;-96.9;428.503;;;
2;-31.5;-18.15;-134.8;135.383;;;
1;-44.1;-6.05;-187.3;159.856;;;
38;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.494;;;
2;6.3;6.05;-134.8;290.993;;;
3;6.3;-6.05;-96.9;432.096;;;
39;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;107.569;;;
2;-6.3;6.05;-134.8;304.565;;;
3;-6.3;6.05;-96.9;444.241;;;
4;-18.9;-6.05;-13.2;815.743;;;
40;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;111.186;;;
2;6.3;-6.05;-134.8;313.762;;;
3;6.3;-6.05;-96.9;480.674;;;
4;31.5;-18.15;-13.2;876.395;;;
41;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;116.185;;;
3;-6.3;6.05;-96.9;462.142;;;
4;-6.3;6.05;-13.2;725.136;;;
42;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;113.935;;;
2;-6.3;6.05;-134.8;287.472;;;
3;-6.3;6.05;-96.9;424.801;;;
4;31.5;6.05;-13.2;836.831;;;
43;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.272;;;
3;-6.3;-6.05;-96.9;430.125;;;
4;-18.9;-18.15;-13.2;867.838;;;
44;100.0;1.0;1.0;-220.0;0.0;0.0;3.0
1;6.3;6.05;-187.3;11.088;;;
2;-6.3;6.05;-134.8;295.778;;;
3;-6.3;6.05;-96.9;457.621;;;
45;100.0;1.0;1.0;-220.0;0.0;0.0;4.0
1;6.3;6.05;-187.3;11.014;;;
