,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
0,1,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
1,1,6.3,6.05,-187.3,112.957,,,finHit
2,2,6.3,6.05,-134.8,317.644,,,finHit
3,4,31.5,18.15,-13.2,89.189,,,finHit
4,2,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
5,1,6.3,6.05,-187.3,11.484,,,finHit
6,2,-6.3,-6.05,-134.8,288.073,,,finHit
7,4,6.3,6.05,-13.2,716.903,,,finHit
8,3,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
9,1,6.3,6.05,-187.3,110.271,,,finHit
10,3,6.3,-6.05,-96.9,46.338,,,finHit
11,4,6.3,-30.25,-13.2,906.787,,,finHit
12,4,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
13,1,6.3,6.05,-187.3,111.798,,,finHit
14,2,6.3,6.05,-134.8,317.573,,,finHit
15,3,6.3,6.05,-96.9,493.525,,,finHit
16,4,31.5,30.25,-13.2,941.268,,,finHit
17,5,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
18,1,6.3,6.05,-187.3,117.997,,,finHit
19,2,6.3,6.05,-134.8,310.209,,,finHit
20,3,6.3,6.05,-96.9,454.893,,,finHit
21,4,6.3,18.15,-13.2,769.374,,,finHit
22,6,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
23,1,6.3,6.05,-187.3,108.816,,,finHit
24,2,6.3,6.05,-134.8,277.091,,,finHit
25,3,6.3,-6.05,-96.9,434.143,,,finHit
26,4,6.3,-6.05,-13.2,727.692,,,finHit
27,7,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
28,1,6.3,6.05,-187.3,106.745,,,finHit
29,2,6.3,6.05,-134.8,311.248,,,finHit
30,3,-6.3,6.05,-96.9,439.118,,,finHit
31,4,-6.3,-30.25,-13.2,922.785,,,finHit
32,8,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
33,1,6.3,6.05,-187.3,115.278,,,finHit
34,3,-6.3,6.05,-96.9,43.567,,,finHit
35,3,6.3,6.05,-96.9,429.386,,,finHit
36,9,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
37,1,6.3,6.05,-187.3,109.285,,,finHit
38,3,-6.3,6.05,-96.9,426.227,,,finHit
39,4,-6.3,6.05,-13.2,736.244,,,finHit
40,10,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
41,1,6.3,6.05,-187.3,11.575,,,finHit
42,2,6.3,6.05,-134.8,287.212,,,finHit
43,3,-6.3,6.05,-96.9,441.527,,,finHit
44,4,-56.7,54.45,-13.2,122.315,,,finHit
45,4,-18.9,6.05,-13.2,775.585,,,finHit
46,11,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
47,1,6.3,6.05,-187.3,113.489,,,finHit
48,2,6.3,6.05,-134.8,290.683,,,finHit
49,3,6.3,6.05,-96.9,427.581,,,finHit
50,4,6.3,6.05,-13.2,746.504,,,finHit
51,12,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
52,1,6.3,6.05,-187.3,113.378,,,finHit
53,3,-6.3,6.05,-96.9,440.449,,,finHit
54,4,-31.5,30.25,-13.2,982.945,,,finHit
55,13,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
56,1,6.3,6.05,-187.3,115.811,,,finHit
57,2,-6.3,-6.05,-134.8,291.144,,,finHit
