Hit_Id;Event_Number;Ini_E[MeV];Ini_Theta;Ini_Phi;Number_of_hits;Plane_h;X_h[cm];Y_h[cm];Z_h[cm];Time_h[ns]
352;1001.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.614
353;1002.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;100.586
354;1003.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;105.426
355;1004.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.828
356;1005.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.411
357;1006.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;108.729
358;1007.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.462
359;1008.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;115.169
360;1009.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.288
361;1010.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.544
362;1011.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;115.331
363;1012.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.193
364;1013.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;106.222
365;1014.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;122.009
366;1015.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.954
367;1016.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.955
368;1017.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;111.426
369;1018.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;102.574
370;1019.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.409
371;1020.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;102.847
372;1021.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;108.357
373;1022.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.321
374;1023.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;103.344
375;1024.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.503
376;1025.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;121.377
377;1026.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;115.683
378;1027.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.161
379;1028.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.373
380;1029.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;122.381
381;1030.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.797
382;1031.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.046
383;1032.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;10.946
384;1033.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.869
385;1034.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;108.213
386;1035.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.385
387;1036.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.386
388;1037.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;10.623
389;1037.0;10.0;0.0;0.0;2.0;2.0;56.7;6.05;134.8;715.461
390;1038.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.276
391;1039.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.191
392;1040.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.971
393;1041.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;104.253
394;1042.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;104.615
395;1043.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.397
396;1044.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;111.971
397;1045.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;115.004
398;1045.0;10.0;0.0;0.0;2.0;2.0;6.3;-30.25;134.8;457.958
399;1046.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;108.219
400;1047.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.704
401;1048.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;124.846
402;1049.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.076
403;1050.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.953
404;1051.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;106.837
405;1052.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;107.081
406;1053.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.451
407;1054.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;11.366
408;1054.0;10.0;0.0;0.0;2.0;2.0;-18.9;-18.15;134.8;417.796
409;1055.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.826
410;1056.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;109.579
411;1056.0;10.0;0.0;0.0;2.0;2.0;44.1;-30.25;134.8;66.845
412;1057.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;115.869
413;1058.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;119.365
414;1059.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.333
415;1060.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.024
416;1061.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;120.772
417;1062.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;119.028
418;1062.0;10.0;0.0;0.0;2.0;2.0;-6.3;-30.25;134.8;440.428
419;1063.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.902
420;1064.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;121.326
421;1065.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.806
422;1066.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;12.071
423;1067.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.151
424;1068.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.056
425;1069.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.085
426;1070.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;117.212
427;1071.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.294
428;1072.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.238
429;1073.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;119.464
430;1074.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.133
431;1075.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.473
432;1076.0;10.0;0.0;0.0;2.0;1.0;6.3;6.05;187.3;112.362
433;1076.0;10.0;0.0;0.0;2.0;2.0;-18.9;-6.05;134.8;410.042
434;1077.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;108.369
435;1078.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;114.344
436;1079.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;119.583
437;1080.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.975
438;1081.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.339
439;1082.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.581
440;1083.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;110.763
441;1084.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.284
442;1085.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;113.571
443;1086.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;109.146
444;1087.0;10.0;0.0;0.0;1.0;1.0;-6.3;6.05;187.3;110.097
445;1088.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;107.891
446;1089.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;116.033
447;1090.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;11.507
448;1091.0;10.0;0.0;0.0;1.0;1.0;6.3;6.05;187.3;112.658
1147;2001.0;56.0;0.0;0.0;4.0;1.0;6.3;6.05;187.3;11.563
1148;2001.0;56.0;0.0;0.0;4.0;2.0;6.3;6.05;134.8;304.832
1149;2001.0;56.0;0.0;0.0;4.0;3.0;6.3;6.05;96.9;443.849
1150;2001.0;56.0;0.0;0.0;4.0;4.0;6.3;-6.05;13.2;748.818
1151;2002.0;56.0;0.0;0.0;3.0;1.0;6.3;6.05;187.3;115.764
